system:index,CLASS_2016,CLASS_2017,CLASS_2018,CLASS_2019,CLASS_2020,CLASS_2021,CLASS_2022,CLASS_2023,LAT,LON,PESO_AMOS,bacia,classification_2016,classification_2017,classification_2018,classification_2019,classification_2020,classification_2021,classification_2022,classification_2023,classification_2024,classification_2025,.geo
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0000000000000000014a_0,AFLORAMENTO ROCHOSO,AFLORAMENTO ROCHOSO,AFLORAMENTO ROCHOSO,AFLORAMENTO ROCHOSO,AFLORAMENTO ROCHOSO,AFLORAMENTO ROCHOSO,AFLORAMENTO ROCHOSO,AFLORAMENTO ROCHOSO,-13.48541706,-43.7394585,"98580,8000000005",765,4,29,29,29,29,29,3,29,33,29,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-43.73955508871418,-13.485374297909638]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0000000000000000014d_0,AFLORAMENTO ROCHOSO,AFLORAMENTO ROCHOSO,AFLORAMENTO ROCHOSO,AFLORAMENTO ROCHOSO,AFLORAMENTO ROCHOSO,AFLORAMENTO ROCHOSO,AFLORAMENTO ROCHOSO,AFLORAMENTO ROCHOSO,-14.21116598,-44.42882565,"99626,9935483871",765,4,4,4,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-44.4289222377475,-14.2111232159498]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0000000000000000014e_0,AFLORAMENTO ROCHOSO,AFLORAMENTO ROCHOSO,AFLORAMENTO ROCHOSO,AFLORAMENTO ROCHOSO,AFLORAMENTO ROCHOSO,AFLORAMENTO ROCHOSO,AFLORAMENTO ROCHOSO,AFLORAMENTO ROCHOSO,-14.25859703,-42.8234464,54600,765,4,4,4,12,12,12,12,12,12,12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-42.823542993497504,-14.25855426295131]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000000c45_0,AFLORAMENTO ROCHOSO,AFLORAMENTO ROCHOSO,AFLORAMENTO ROCHOSO,AFLORAMENTO ROCHOSO,AFLORAMENTO ROCHOSO,AFLORAMENTO ROCHOSO,AFLORAMENTO ROCHOSO,AFLORAMENTO ROCHOSO,-14.46610786,-43.62276734,"100085,333333333",765,4,29,29,29,29,4,3,12,12,29,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-43.62286393330705,-14.466065093582921]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000001b3f_0,OUTRA ÁREA NÃO VEGETADA,OUTRA ÁREA NÃO VEGETADA,OUTRA ÁREA NÃO VEGETADA,OUTRA ÁREA NÃO VEGETADA,OUTRA ÁREA NÃO VEGETADA,OUTRA ÁREA NÃO VEGETADA,OUTRA ÁREA NÃO VEGETADA,OUTRA ÁREA NÃO VEGETADA,-13.92792717,-42.84743142,"98845,0804195803",765,4,4,4,4,4,4,21,21,4,21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-42.84752801158349,-13.927884406866916]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000000014_0,FLORESTA PLANTADA,FLORESTA PLANTADA,FLORESTA PLANTADA,FLORESTA PLANTADA,FLORESTA PLANTADA,FLORESTA PLANTADA,FLORESTA PLANTADA,FLORESTA PLANTADA,-13.24556688,-43.60686716,"98580,8000000005",765,21,21,21,21,21,21,21,3,21,21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-43.606963752778135,-13.245524117049728]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_000000000000000000e6_0,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,-13.61046255,-43.27080741,"98845,0804195803",765,4,4,4,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-43.27090400498903,-13.610419785459076]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_000000000000000001ab_0,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,-13.93520353,-43.69849532,"98845,0804195803",765,4,4,4,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-43.69859191175833,-13.935160760668284]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_000000000000000001b1_0,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,,-13.67945317,-43.97257131,"98580,8000000005",765,3,4,4,4,3,3,3,3,3,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-43.972667904943194,-13.679410399279456]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_000000000000000001b4_0,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,,-13.66166652,-43.9084316,"98580,8000000005",765,3,4,4,3,4,4,4,4,3,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-43.90852819365706,-13.661623756653889]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_000000000000000001b7_0,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,-13.8120445,-43.44409243,"98580,8000000005",765,4,4,4,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-43.44418902329568,-13.812001735215498]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_000000000000000001bb_0,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,-13.57435028,-43.8486038,"98505,904761905",765,4,4,4,3,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-43.8487003957347,-13.574307511037471]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_000000000000000001d4_0,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,-14.46233494,-44.12133232,"100128,209302326",765,4,4,4,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-44.12142891599339,-14.462292169389618]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_000000000000000001db_0,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,-14.37744414,-43.89549586,"100085,333333333",765,4,4,4,4,4,4,3,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-43.89559245356574,-14.377401375040325]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_000000000000000001dd_0,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,-14.7277871,-44.21269099,"98505,716981132",765,4,4,4,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-44.212787580388344,-14.727744335846937]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_000000000000000001e1_0,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,-14.558814,-43.89576536,"100085,333333333",765,4,4,4,4,4,4,4,4,3,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-43.89586194815098,-14.558771230904055]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_000000000000000008f8_0,LAVOURA PERENE,LAVOURA PERENE,LAVOURA PERENE,LAVOURA PERENE,LAVOURA PERENE,LAVOURA PERENE,LAVOURA PERENE,LAVOURA PERENE,-13.24556688,-43.66157456,"98505,904761905",765,4,4,4,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-43.66167115358102,-13.245524117049728]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000000c7b_0,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,,-13.95730208,-44.4657464,"98845,0804195803",765,21,4,21,21,21,21,21,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-44.46584299592481,-13.957259316657623]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000000c7e_0,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,-13.72365028,-44.06366048,"98580,8000000005",765,4,4,4,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-44.063757074752914,-13.723607511258136]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000000c81_0,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,,-13.95891905,-44.33261608,"98505,904761905",765,4,4,4,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-44.3327126708183,-13.958876284169039]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000000c97_0,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,-14.6086705,-44.27251879,"100085,333333333",765,4,4,4,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-44.272615378310704,-14.608627729172689]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000000c9d_0,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,FORMAÇÃO FLORESTAL,-14.38175605,-44.29839027,"99626,9935483871",765,4,4,4,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-44.29848685849335,-14.381713288404098]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000001e35_0,PASTAGEM,PASTAGEM,PASTAGEM,PASTAGEM,PASTAGEM,PASTAGEM,PASTAGEM,,-13.31321002,-43.63624207,"98580,8000000005",765,21,21,21,21,21,21,21,21,21,21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-43.636338662568846,-13.313167257943928]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000000069_0,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,,-14.72697862,-44.41885435,"100085,333333333",765,4,4,4,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-44.41895093809377,-14.72693585209123]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000002366_0,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,,-14.09447483,-43.15465525,"100128,209302326",765,4,4,4,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-43.154751838752375,-14.094432060542674]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0000000000000000051c_0,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,,-14.37690515,-44.47733467,"100085,333333333",765,4,4,4,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-44.477431263089954,-14.376862385869853]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000000051_0,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,PASTAGEM,PASTAGEM,PASTAGEM,PASTAGEM,PASTAGEM,,-13.64873078,-43.58369063,"98580,8000000005",765,21,21,21,21,21,21,21,21,21,21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-43.58378721844785,-13.648688016562568]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000000103_0,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,,-14.23946291,-43.888489,"100085,333333333",765,4,4,4,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-43.88858559434961,-14.239420147399565]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000000423_0,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,,-13.77162031,-43.62761824,"98845,0804195803",765,4,4,4,4,4,4,4,4,4,21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-43.6277148358413,-13.77157754743012]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000000424_0,LAVOURA TEMPORÁRIA,LAVOURA TEMPORÁRIA,LAVOURA TEMPORÁRIA,LAVOURA TEMPORÁRIA,LAVOURA TEMPORÁRIA,LAVOURA TEMPORÁRIA,LAVOURA TEMPORÁRIA,LAVOURA TEMPORÁRIA,-13.21780894,-43.66022709,"98845,0804195803",765,21,21,21,4,4,4,21,21,21,21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-43.66032368065484,-13.217766174770434]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0000000000000000042f_0,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,,-13.8319871,-44.27332727,"98845,0804195803",765,4,4,4,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-44.27342386206641,-13.831944334522952]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000000435_0,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,,-13.40322122,-43.4206464,"98845,0804195803",765,4,4,4,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-43.42074299438016,-13.403178449412703]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000000448_0,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,PASTAGEM,PASTAGEM,-13.90232519,-43.0622186,"98580,8000000005",765,4,4,4,4,4,4,4,4,4,21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-43.06231519601647,-13.90228242126951]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000000451_0,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,-13.70640262,-43.43843305,"98580,8000000005",765,4,4,4,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-43.43852963700573,-13.706359857803042]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000000465_0,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,,-13.48730353,-43.1619316,"97964,6562500004",765,4,4,4,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-43.16202819255374,-13.48726076000629]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0000000000000000046c_0,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,-13.84653981,-44.02350579,"97964,6562500004",765,4,29,29,4,29,29,3,4,29,29,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-44.02360238155277,-13.846497042125687]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000000470_0,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,,-13.65034775,-42.95388178,"98505,904761905",765,4,4,4,4,4,4,4,4,21,21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-42.953978372751656,-13.650304984073983]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000000481_0,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,-13.47787122,-43.36728648,"98580,8000000005",765,4,4,4,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-43.367383066503464,-13.477828449523034]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000000517_0,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,,-14.24539179,-44.57839514,"100128,209302326",765,4,4,4,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-44.5784917325534,-14.245349028274754]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000000518_0,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,,-14.38310353,-44.67541319,"99626,9935483871",765,4,4,4,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-44.67550978323831,-14.383060761330277]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0000000000000000052f_0,PASTAGEM,PASTAGEM,PASTAGEM,PASTAGEM,PASTAGEM,PASTAGEM,PASTAGEM,PASTAGEM,-14.65906598,-44.03051265,"100128,209302326",765,21,21,21,21,21,21,21,21,33,21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-44.030609240768904,-14.659023216611795]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0000000000000000053e_0,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,,-14.17262826,-44.27602222,"100085,333333333",765,4,4,4,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-44.27611880791877,-14.172585490261074]}"
