system:index,CLASS_2016,CLASS_2017,CLASS_2018,CLASS_2019,CLASS_2020,CLASS_2021,CLASS_2022,CLASS_2023,LAT,LON,PESO_AMOS,bacia,classification_2016,classification_2017,classification_2018,classification_2019,classification_2020,classification_2021,classification_2022,classification_2023,classification_2024,classification_2025,.geo
1_1_1_2_00000000000000001130_0,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,,-6.995717957,-42.49870543,"106924,009090909",7438,4,4,4,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-42.49862235523147,-6.995585359316567]}"
1_1_1_2_00000000000000001131_0,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,,-7.047460918,-42.52754135,"106924,009090909",7438,4,4,4,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-42.52745827585171,-7.047328319681851]}"
1_1_1_2_00000000000000001136_0,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,,-6.609801711,-42.33404424,"106924,009090909",7438,4,4,4,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-42.33396116365236,-6.60966911325882]}"
1_1_1_2_0000000000000000113b_0,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,-6.980356766,-42.22193449,"106924,009090909",7438,21,4,4,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-42.22185141619425,-6.980224167958124]}"
1_1_1_2_0000000000000000113e_0,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,-6.828631314,-42.17585091,"106924,009090909",7438,4,4,4,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-42.175767842118915,-6.828498716470336]}"
1_1_1_2_00000000000000001140_0,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,-7.073601892,-42.18070182,"106878,469879518",7438,4,4,4,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-42.18061874465316,-7.07346929444973]}"
1_1_1_2_00000000000000001143_0,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,-6.485564707,-42.77520687,"106878,469879518",7438,4,4,4,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-42.775123799683456,-6.485432109465091]}"
1_1_1_2_00000000000000001148_0,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,,-6.615191603,-42.33997312,"106878,469879518",7438,4,4,4,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-42.33989004452755,-6.615059004963538]}"
1_1_1_2_0000000000000000114a_0,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,-6.67852283,-42.50409532,"106878,469879518",7438,4,4,4,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-42.504012246936185,-6.678390232493964]}"
1_1_1_2_0000000000000000114c_0,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,-6.801142867,-42.55287384,"106878,469879518",7438,4,4,4,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-42.55279076686388,-6.801010268776278]}"
1_1_1_2_00000000000000001152_0,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,,-6.473167957,-42.44399803,"106032,271186441",7438,4,4,4,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-42.44391495442859,-6.473035358544242]}"
1_1_1_2_00000000000000001153_0,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,FORMAÇÃO SAVÂNICA,,-6.857467235,-42.01577113,"106032,271186441",7438,4,4,4,4,4,4,4,4,4,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-42.01568805848881,-6.857334637090573]}"
