area,classe,year,Bacia,percent
11804.61603067572,3,2016,7754,6.45
70005.71995505021,4,2016,7754,38.22
266.5182457344086,12,2016,7754,0.15
100340.5913334569,21,2016,7754,54.79
621.9223478833239,25,2016,7754,0.34
103.94293347366629,33,2016,7754,0.06
11770.012851392212,3,2017,7754,6.43
70403.92356939419,4,2017,7754,38.44
293.3312261718033,12,2017,7754,0.16
99962.57662904792,21,2017,7754,54.58
653.0732658310598,25,2017,7754,0.36
60.39330443811752,33,2017,7754,0.03
11698.70761373971,3,2018,7754,6.39
70854.98189798735,4,2018,7754,38.69
297.72762644706,12,2018,7754,0.16
99497.54726811008,21,2018,7754,54.33
712.7677048101222,25,2018,7754,0.39
81.57873518260281,33,2018,7754,0.04
11681.767918184369,3,2019,7754,6.38
70981.8693452896,4,2019,7754,38.76
269.98398398394346,12,2019,7754,0.15
99328.25672221428,21,2019,7754,54.24
733.3145283481973,25,2019,7754,0.4
148.11834825865492,33,2019,7754,0.08
11653.063590724185,3,2020,7754,6.36
72255.7153656813,4,2020,7754,39.45
304.1362928950766,12,2020,7754,0.17
98058.91166346746,21,2020,7754,53.54
717.797665026162,25,2020,7754,0.39
153.68626848347975,33,2020,7754,0.08
11665.563795592943,3,2021,7754,6.37
72719.23949097714,4,2021,7754,39.71
349.2361784211038,12,2021,7754,0.19
97545.64745034308,21,2021,7754,53.26
718.2969628712625,25,2021,7754,0.39
145.3269680662388,33,2021,7754,0.08
11795.22005004912,3,2022,7754,6.44
73941.40110957593,4,2022,7754,40.37
332.1657465308337,12,2022,7754,0.18
96104.29005118064,21,2022,7754,52.47
707.8401617200927,25,2022,7754,0.39
262.39372721643826,33,2022,7754,0.14
11801.751792595402,3,2023,7754,6.44
74052.81700973527,4,2023,7754,40.43
276.8136499105291,12,2023,7754,0.15
96054.56254842268,21,2023,7754,52.45
710.7110652678616,25,2023,7754,0.39
246.65478033806352,33,2023,7754,0.13
1028.914805565356,3,2016,7581,0.15
265421.89234190463,4,2016,7581,39.84
466.1998880013485,12,2016,7581,0.07
385179.1108474253,21,2016,7581,57.82
11475.890081307336,25,2016,7581,1.72
2589.0897176634085,33,2016,7581,0.39
1036.6291197926982,3,2017,7581,0.16
262255.2810521066,4,2017,7581,39.37
587.1094637082789,12,2017,7581,0.09
387383.9913379472,21,2017,7581,58.15
12414.515607512358,25,2017,7581,1.86
2483.571100806098,33,2017,7581,0.37
1035.09700622499,3,2018,7581,0.16
255948.9467133501,4,2018,7581,38.42
567.638356652616,12,2018,7581,0.09
392127.2774136759,21,2018,7581,58.86
13124.361629603369,25,2018,7581,1.97
3357.776562354496,33,2018,7581,0.5
1040.5945255085328,3,2019,7581,0.16
250435.7150470149,4,2019,7581,37.59
482.09120232836,12,2019,7581,0.07
397190.0717336731,21,2019,7581,59.62
13747.62505381127,25,2019,7581,2.06
3265.0001195084164,33,2019,7581,0.49
1037.472924424285,3,2020,7581,0.16
245661.99117625607,4,2020,7581,36.88
415.8155329008695,12,2020,7581,0.06
400939.2057820229,21,2020,7581,60.19
14036.266576786824,25,2020,7581,2.11
4070.345689430488,33,2020,7581,0.61
1032.6583320308928,3,2021,7581,0.16
243611.6463697884,4,2021,7581,36.57
351.5681846892001,12,2021,7581,0.05
403147.651882642,21,2021,7581,60.52
14202.611811414436,25,2021,7581,2.13
3814.96110124353,33,2021,7581,0.57
1029.696736826748,3,2022,7581,0.15
243551.7911561203,4,2022,7581,36.56
261.3191312055047,12,2022,7581,0.04
402424.0160150128,21,2022,7581,60.41
14087.034568308609,25,2022,7581,2.11
4807.2400743441385,33,2022,7581,0.72
1029.6357412488048,3,2023,7581,0.15
243985.51200683165,4,2023,7581,36.63
204.0411875675936,12,2023,7581,0.03
401320.2012896912,21,2023,7581,60.24
14411.321953530629,25,2023,7581,2.16
5210.385502937579,33,2023,7581,0.78
828.32823502884,3,2016,7625,8.81
5989.341174802468,4,2016,7625,63.67
0.0295022622740502,12,2016,7625,0.0
2575.376221706224,21,2016,7625,27.38
13.13000387647442,25,2016,7625,0.14
828.765625873567,3,2017,7625,8.81
6009.035056939493,4,2017,7625,63.88
0.0295022622740502,12,2017,7625,0.0
2554.807595770385,21,2017,7625,27.16
13.567356830575982,25,2017,7625,0.14
832.7188969178433,3,2018,7625,8.85
6000.139495830663,4,2018,7625,63.79
0.0295022622740502,12,2018,7625,0.0
2558.2696580883808,21,2018,7625,27.2
15.047584577181944,25,2018,7625,0.16
828.575095755303,3,2019,7625,8.81
5977.394829744634,4,2019,7625,63.55
0.0295022622740502,12,2019,7625,0.0
2583.3214728344783,21,2019,7625,27.46
16.446889813998347,25,2019,7625,0.17
0.437347265625,33,2019,7625,0.0
826.3376390169503,3,2020,7625,8.79
5917.920397449185,4,2020,7625,62.92
0.0295022622740502,12,2020,7625,0.0
