,area,classe,year,Colecao,Bacia,cobertura,cob_level1,cob_color,nat_color,total
60,41759.52824171308,25,2018,Col90,751,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
61,23863.1068615044,33,2018,Col90,751,Water,Natural,#112013,#32a65e,cobertura
62,240993.56249874676,3,2019,Col90,751,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
63,885738.6044457551,4,2019,Col90,751,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
64,8302.475671882958,12,2019,Col90,751,Grassland,Natural,#d6bc74,#32a65e,cobertura
65,126126.20233450552,21,2019,Col90,751,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
66,40784.332311008046,25,2019,Col90,751,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
67,25493.855938873345,33,2019,Col90,751,Water,Natural,#112013,#32a65e,cobertura
68,241182.02076838547,3,2020,Col90,751,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
69,882124.6341572184,4,2020,Col90,751,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
70,8225.600251763057,12,2020,Col90,751,Grassland,Natural,#d6bc74,#32a65e,cobertura
71,129261.48438329692,21,2020,Col90,751,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
72,40738.366260318086,25,2020,Col90,751,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
73,25906.92737978805,33,2020,Col90,751,Water,Natural,#112013,#32a65e,cobertura
74,241234.10861304268,3,2021,Col90,751,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
75,875485.245947711,4,2021,Col90,751,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
76,8118.920063914325,12,2021,Col90,751,Grassland,Natural,#d6bc74,#32a65e,cobertura
77,136256.7551576544,21,2021,Col90,751,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
78,40909.38497409804,25,2021,Col90,751,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
79,25434.61844433921,33,2021,Col90,751,Water,Natural,#112013,#32a65e,cobertura
80,240713.9463423236,3,2022,Col90,751,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
81,867426.4964877465,4,2022,Col90,751,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
82,7277.251570276231,12,2022,Col90,751,Grassland,Natural,#d6bc74,#32a65e,cobertura
83,143843.06019853344,21,2022,Col90,751,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
84,40804.09675588549,25,2022,Col90,751,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
85,27374.18184599087,33,2022,Col90,751,Water,Natural,#112013,#32a65e,cobertura
86,240390.1977527412,3,2023,Col90,751,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
87,866014.5559286826,4,2023,Col90,751,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
88,7190.214554293949,12,2023,Col90,751,Grassland,Natural,#d6bc74,#32a65e,cobertura
89,145385.0532797928,21,2023,Col90,751,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
90,41059.875432812274,25,2023,Col90,751,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
91,27399.136252435503,33,2023,Col90,751,Water,Natural,#112013,#32a65e,cobertura
92,51374.15440068706,3,2016,Col90,7622,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
93,1308801.9863439975,4,2016,Col90,7622,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
94,1886.4045042967743,12,2016,Col90,7622,Grassland,Natural,#d6bc74,#32a65e,cobertura
95,305498.03348407126,21,2016,Col90,7622,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
96,8802.107584739868,25,2016,Col90,7622,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
97,2399.510565917853,33,2016,Col90,7622,Water,Natural,#112013,#32a65e,cobertura
98,51434.14983507279,3,2017,Col90,7622,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
99,1309633.6087828611,4,2017,Col90,7622,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
100,1881.903209697134,12,2017,Col90,7622,Grassland,Natural,#d6bc74,#32a65e,cobertura
101,305038.06584424817,21,2017,Col90,7622,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
102,8733.506641683662,25,2017,Col90,7622,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
103,2040.9625701192715,33,2017,Col90,7622,Water,Natural,#112013,#32a65e,cobertura
104,51417.89786415155,3,2018,Col90,7622,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
105,1309984.9618077795,4,2018,Col90,7622,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
106,2224.283155811053,12,2018,Col90,7622,Grassland,Natural,#d6bc74,#32a65e,cobertura
107,304417.3676027066,21,2018,Col90,7622,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
108,8704.002213207976,25,2018,Col90,7622,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
109,2013.684240046771,33,2018,Col90,7622,Water,Natural,#112013,#32a65e,cobertura
110,51388.288404552,3,2019,Col90,7622,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
111,1304648.5109329426,4,2019,Col90,7622,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
112,2665.5058183789542,12,2019,Col90,7622,Grassland,Natural,#d6bc74,#32a65e,cobertura
113,309246.8943941361,21,2019,Col90,7622,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
114,8796.453219225765,25,2019,Col90,7622,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
115,2016.5441144924712,33,2019,Col90,7622,Water,Natural,#112013,#32a65e,cobertura
116,51073.18882182361,3,2020,Col90,7622,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
117,1298372.4528199306,4,2020,Col90,7622,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
118,3431.608034130508,12,2020,Col90,7622,Grassland,Natural,#d6bc74,#32a65e,cobertura
119,314734.7615599426,21,2020,Col90,7622,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
120,8915.408440903917,25,2020,Col90,7622,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
121,2234.777206978642,33,2020,Col90,7622,Water,Natural,#112013,#32a65e,cobertura
122,50607.85134795847,3,2021,Col90,7622,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
123,1286478.6987592871,4,2021,Col90,7622,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
124,3504.5245350955706,12,2021,Col90,7622,Grassland,Natural,#d6bc74,#32a65e,cobertura
125,326848.8052998879,21,2021,Col90,7622,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
126,9040.255572984895,25,2021,Col90,7622,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
127,2282.061368506052,33,2021,Col90,7622,Water,Natural,#112013,#32a65e,cobertura
128,50224.98174080523,3,2022,Col90,7622,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
129,1267273.9088801588,4,2022,Col90,7622,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
130,3434.93881598947,12,2022,Col90,7622,Grassland,Natural,#d6bc74,#32a65e,cobertura
131,345549.72646318504,21,2022,Col90,7622,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
132,9056.046705864344,25,2022,Col90,7622,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
133,3222.5942777081204,33,2022,Col90,7622,Water,Natural,#112013,#32a65e,cobertura
134,50077.62959782075,3,2023,Col90,7622,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
135,1257266.9231712767,4,2023,Col90,7622,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
136,2462.7722096117413,12,2023,Col90,7622,Grassland,Natural,#d6bc74,#32a65e,cobertura
137,357231.7576911563,21,2023,Col90,7622,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
138,9106.233957286722,25,2023,Col90,7622,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
139,2616.8802565661617,33,2023,Col90,7622,Water,Natural,#112013,#32a65e,cobertura
140,35133.35781608152,3,2016,Col90,7619,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
141,2729371.005441456,4,2016,Col90,7619,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
142,73545.41873817022,12,2016,Col90,7619,Grassland,Natural,#d6bc74,#32a65e,cobertura
143,691606.4010922159,21,2016,Col90,7619,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
144,64610.64467160902,25,2016,Col90,7619,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
145,0.0878479858398437,27,2016,Col90,7619,Not Observed,Not Observed,#ffefc3,#112013,cobertura
146,20220.615199004027,33,2016,Col90,7619,Water,Natural,#112013,#32a65e,cobertura
147,35126.950668473895,3,2017,Col90,7619,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
148,2729171.699225346,4,2017,Col90,7619,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
149,73403.9863769323,12,2017,Col90,7619,Grassland,Natural,#d6bc74,#32a65e,cobertura
150,695661.5734798402,21,2017,Col90,7619,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
151,62797.89197667346,25,2017,Col90,7619,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
152,0.0878479858398437,27,2017,Col90,7619,Not Observed,Not Observed,#ffefc3,#112013,cobertura
153,18325.34123128129,33,2017,Col90,7619,Water,Natural,#112013,#32a65e,cobertura
154,33822.2582977619,3,2018,Col90,7619,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
155,2721599.3245702223,4,2018,Col90,7619,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
156,74639.33742725333,12,2018,Col90,7619,Grassland,Natural,#d6bc74,#32a65e,cobertura
157,701640.7235325963,21,2018,Col90,7619,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
158,64138.45806220965,25,2018,Col90,7619,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
159,0.0878479858398437,27,2018,Col90,7619,Not Observed,Not Observed,#ffefc3,#112013,cobertura
160,18647.34106849085,33,2018,Col90,7619,Water,Natural,#112013,#32a65e,cobertura
161,32923.93987002385,3,2019,Col90,7619,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
162,2706985.262945689,4,2019,Col90,7619,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
163,75905.58777570544,12,2019,Col90,7619,Grassland,Natural,#d6bc74,#32a65e,cobertura
164,714963.5549069056,21,2019,Col90,7619,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
165,64890.491601134105,25,2019,Col90,7619,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
166,0.0878479858398437,27,2019,Col90,7619,Not Observed,Not Observed,#ffefc3,#112013,cobertura
167,18818.605859058785,33,2019,Col90,7619,Water,Natural,#112013,#32a65e,cobertura
168,31090.536277929,3,2020,Col90,7619,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
169,2696350.632045859,4,2020,Col90,7619,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
170,78730.2391400617,12,2020,Col90,7619,Grassland,Natural,#d6bc74,#32a65e,cobertura
171,703519.3920739434,21,2020,Col90,7619,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
172,64640.84590852379,25,2020,Col90,7619,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
173,0.0878479858398437,27,2020,Col90,7619,Not Observed,Not Observed,#ffefc3,#112013,cobertura
174,40155.79751221168,33,2020,Col90,7619,Water,Natural,#112013,#32a65e,cobertura
175,30947.13380385435,3,2021,Col90,7619,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
176,2688694.72422338,4,2021,Col90,7619,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
177,81107.4120707649,12,2021,Col90,7619,Grassland,Natural,#d6bc74,#32a65e,cobertura
178,714784.2200164243,21,2021,Col90,7619,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
179,64770.357821920974,25,2021,Col90,7619,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
180,0.0878479858398437,27,2021,Col90,7619,Not Observed,Not Observed,#ffefc3,#112013,cobertura
181,34183.59502214979,33,2021,Col90,7619,Water,Natural,#112013,#32a65e,cobertura
182,30554.147361963696,3,2022,Col90,7619,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
183,2687806.6607232103,4,2022,Col90,7619,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
184,78831.50033491211,12,2022,Col90,7619,Grassland,Natural,#d6bc74,#32a65e,cobertura
185,708414.1265897269,21,2022,Col90,7619,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
186,62301.939514707294,25,2022,Col90,7619,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
187,46579.15628199092,33,2022,Col90,7619,Water,Natural,#112013,#32a65e,cobertura
188,30537.43506688265,3,2023,Col90,7619,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
189,2694382.9437218355,4,2023,Col90,7619,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
190,73408.38112072494,12,2023,Col90,7619,Grassland,Natural,#d6bc74,#32a65e,cobertura
191,712637.5985139859,21,2023,Col90,7619,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
192,61900.15105331536,25,2023,Col90,7619,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
193,41621.02132975302,33,2023,Col90,7619,Water,Natural,#112013,#32a65e,cobertura
194,397653.49442522886,3,2016,Col90,746,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
195,1279663.609846115,4,2016,Col90,746,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
196,11.56587161274031,12,2016,Col90,746,Grassland,Natural,#d6bc74,#32a65e,cobertura
197,110771.8653424868,21,2016,Col90,746,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
198,12858.219272882245,25,2016,Col90,746,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
199,3582.9949441833887,33,2016,Col90,746,Water,Natural,#112013,#32a65e,cobertura
200,393386.2405008448,3,2017,Col90,746,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
201,1278579.970356363,4,2017,Col90,746,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
202,11.654085150337965,12,2017,Col90,746,Grassland,Natural,#d6bc74,#32a65e,cobertura
203,116388.68462646849,21,2017,Col90,746,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
204,13145.43878953389,25,2017,Col90,746,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
205,3029.761344158964,33,2017,Col90,746,Water,Natural,#112013,#32a65e,cobertura
206,392519.2830594072,3,2018,Col90,746,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
207,1279972.399680363,4,2018,Col90,746,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
208,21.714445117378983,12,2018,Col90,746,Grassland,Natural,#d6bc74,#32a65e,cobertura
209,115549.8477231453,21,2018,Col90,746,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
210,13915.26501431322,25,2018,Col90,746,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
211,2563.2397801696807,33,2018,Col90,746,Water,Natural,#112013,#32a65e,cobertura
212,384886.9387239175,3,2019,Col90,746,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
213,1283536.3533245877,4,2019,Col90,746,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
214,26.049408919582,12,2019,Col90,746,Grassland,Natural,#d6bc74,#32a65e,cobertura
215,119121.20519429492,21,2019,Col90,746,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
216,14466.144347549744,25,2019,Col90,746,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
217,2505.058703271489,33,2019,Col90,746,Water,Natural,#112013,#32a65e,cobertura
218,384682.26063283824,3,2020,Col90,746,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
219,1275456.8553854465,4,2020,Col90,746,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
220,31.485575154191576,12,2020,Col90,746,Grassland,Natural,#d6bc74,#32a65e,cobertura
221,126981.54640128605,21,2020,Col90,746,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
222,14571.391838410766,25,2020,Col90,746,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
223,2818.2098694030938,33,2020,Col90,746,Water,Natural,#112013,#32a65e,cobertura
224,382528.3503817178,3,2021,Col90,746,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
225,1263888.6750815888,4,2021,Col90,746,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
226,51.805086950635726,12,2021,Col90,746,Grassland,Natural,#d6bc74,#32a65e,cobertura
227,140836.12518981734,21,2021,Col90,746,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
228,14381.37133375721,25,2021,Col90,746,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
229,2855.4226287170586,33,2021,Col90,746,Water,Natural,#112013,#32a65e,cobertura
230,382790.0174838202,3,2022,Col90,746,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
231,1247736.9707703996,4,2022,Col90,746,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
232,46.87121176030179,12,2022,Col90,746,Grassland,Natural,#d6bc74,#32a65e,cobertura
233,156456.12941291774,21,2022,Col90,746,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
