savi_median_wet,avi_median_dry,savi_median,cvi_median_wet,ri_median_wet,classe,year,avi_median_wet,avi_median,Longitude,cvi_median_dry,class,ri_median_dry,Latitude,cvi_median,savi_median_dry,ri_median
,0,,36490,15722,0.0,2016.0,0,0,-43.87425537530161,25793,3,13644,-12.30388461344301,30840,,14898
,0,,37210,15751,0.0,2016.0,0,0,-43.88222002089451,28094,3,14135,-12.301199341424407,30933,,14942
,0,,38057,15816,0.0,2016.0,0,0,-43.8715237572548,27672,3,14045,-12.306898373037638,31518,,14967
,0,,36263,15674,0.0,2016.0,0,0,-44.10686974893498,28244,3,14307,-12.520940951993333,30099,,14781
,0,,35412,15380,0.0,2016.0,0,0,-43.96992741319439,26086,3,13825,-12.451151318059802,32254,,14999
,0,,39562,16003,0.0,2016.0,0,0,-43.949751719192136,27908,3,14062,-12.23408475453345,35121,,15339
,0,,35606,15632,0.0,2016.0,0,0,-43.88517355868838,26983,3,13959,-12.295701356340775,30603,,14903
,0,,34873,15301,0.0,2016.0,0,0,-44.148210930308196,25709,3,13771,-12.435452687033495,31987,,14877
,0,,36720,15593,0.0,2016.0,0,0,-43.90073688462394,28906,3,14265,-12.292766058391273,32721,,15156
,0,,38985,15889,0.0,2016.0,0,0,-43.834846690385696,26114,3,14078,-12.259763858259374,31223,,15028
,0,,37794,15703,0.0,2016.0,0,0,-43.9617898460289,30325,3,14460,-12.21462872902207,33794,,15158
,0,,35594,15539,0.0,2016.0,0,0,-44.12345726247463,28548,3,14331,-12.439423528105955,32307,,15154
,0,,35161,15350,0.0,2016.0,0,0,-44.08013928463673,29522,3,14362,-12.354685068384612,32349,,14934
,0,,37798,15630,0.0,2016.0,0,0,-43.99275018910795,30547,3,14438,-12.450864961491654,32433,,15137
,0,,35436,15656,0.0,2016.0,0,0,-43.9487208687615,30201,3,14533,-12.2845568945296,34452,,15427
,0,,41029,15614,1.0,2016.0,0,0,-44.159545693444045,33994,4,13980,-12.161820248131207,37980,,15005
