savi_median_wet,avi_median_dry,savi_median,cvi_median_wet,ri_median_wet,classe,year,avi_median_wet,avi_median,Longitude,cvi_median_dry,class,ri_median_dry,Latitude,cvi_median,savi_median_dry,ri_median
,0,,38711,15733,0.0,2016.0,0,0,-43.62629875648376,25514,3,13704,-16.755937678753146,30527,,14680
,0,,37628,15654,0.0,2016.0,0,0,-43.593816804904684,27735,3,14096,-16.88050259051793,30440,,14812
,0,,39226,15796,0.0,2016.0,0,0,-43.47988163682476,30423,3,14080,-16.65888339564138,37105,,15401
,0,,34846,15651,0.0,2016.0,0,0,-43.48957237837103,32244,3,14841,-16.756899393343186,33395,,15406
,0,,31172,14490,1.0,2016.0,0,0,-43.45011145773664,31313,4,13451,-16.659557538769615,31398,,13987
,0,,33494,14398,1.0,2016.0,0,0,-43.71557813975033,31522,4,13680,-16.7183978402154,32986,,14104
,0,,32341,14443,1.0,2016.0,0,0,-43.66719552192755,29459,4,13745,-16.92995889627611,31715,,14213
,0,,32589,14213,1.0,2016.0,0,0,-43.4587600784185,30641,4,13914,-17.000609583331375,31836,,14134
,0,,36509,15015,1.0,2016.0,0,0,-43.441665095392416,27086,4,13432,-16.660041319295544,30345,,14204
,0,,31351,14554,1.0,2016.0,0,0,-43.50263308961414,27832,4,13708,-16.973974797318863,30454,,14331
,0,,38534,15682,1.0,2016.0,0,0,-43.603359323461284,26381,4,13695,-16.63054907539588,30239,,14629
,0,,33218,14371,1.0,2016.0,0,0,-43.79170537454696,32645,4,14138,-16.985422833475862,32361,,14318
,0,,33682,14719,1.0,2016.0,0,0,-43.72585582866657,28627,4,13733,-16.673875324091078,30575,,14274
,0,,40883,16140,1.0,2016.0,0,0,-43.57808516611792,28243,4,14025,-16.70540282676292,31522,,14834
,0,,39782,15670,1.0,2016.0,0,0,-43.52274795215191,30913,4,14230,-16.713475832684534,34840,,15131
,0,,33617,15124,1.0,2016.0,0,0,-43.46939730118609,30893,4,14247,-16.726433039425796,31940,,14787
,0,,41663,15877,1.0,2016.0,0,0,-43.75745455646287,27646,4,13844,-16.77190656591124,35484,,14995
,0,,33693,15077,1.0,2016.0,0,0,-43.782707272396195,29759,4,14343,-16.633286397763133,30707,,14734
,0,,39898,15561,1.0,2016.0,0,0,-43.714022954010865,33217,4,14505,-16.786043571351087,36663,,15106
,0,,38460,15142,1.0,2016.0,0,0,-43.730453706624495,33652,4,14256,-16.78034442476028,36602,,15032
,0,,34916,14895,1.0,2016.0,0,0,-43.45821100371299,34770,4,14339,-16.677405843075746,36021,,14714
,0,,35959,15315,1.0,2016.0,0,0,-43.690304718433794,30694,4,14103,-16.929665018531434,33370,,14798
,0,,41513,15561,1.0,2016.0,0,0,-43.637631965077134,27075,4,13537,-16.79540148237469,34058,,14948
,0,,39920,16044,1.0,2016.0,0,0,-43.63791566098223,28004,4,13978,-16.71331770348167,33312,,15092
,0,,31701,14125,1.0,2016.0,0,0,-43.7795921851936,28584,4,13551,-16.925116400498226,28526,,14059
,0,,35276,15215,1.0,2016.0,0,0,-43.77251659401104,33258,4,14390,-16.905922976705845,33893,,15046
,0,,39895,15284,1.0,2016.0,0,0,-43.489376895307984,32967,4,14019,-16.71336928166784,35997,,14670
,0,,36740,15498,1.0,2016.0,0,0,-43.52647332033536,32842,4,14812,-16.77405664186229,35087,,15278
,0,,35890,15486,1.0,2016.0,0,0,-43.83489006403743,26290,4,13723,-17.000609568106402,28712,,14512
,0,,34845,15109,1.0,2016.0,0,0,-43.95231861956828,36788,4,14422,-16.86675399078788,34481,,15070
,0,,28387,14379,1.0,2016.0,0,0,-43.88777322531876,30167,4,14257,-16.90871502481779,28018,,14338
,0,,37596,15204,0.0,2016.0,0,0,-44.043325518324004,27723,3,13237,-16.929958891247928,29108,,13970
,0,,35614,14434,1.0,2016.0,0,0,-43.954215157904265,29936,4,13506,-16.705402832743324,32003,,13949
,0,,33237,14415,0.0,2016.0,0,0,-43.82888666095159,29157,3,13397,-16.735528373671904,30538,,13964
,0,,35134,14808,1.0,2016.0,0,0,-43.83055654370275,35462,4,14028,-16.963591071924924,33963,,14403
,0,,35722,15634,1.0,2016.0,0,0,-44.009165424386254,29288,4,14533,-16.751807470452192,30702,,15047
,0,,38061,15463,0.0,2016.0,0,0,-43.826241442900596,25689,3,13533,-16.659557545663535,31343,,14570
,0,,38957,15399,0.0,2016.0,0,0,-43.85601162352908,25010,3,13485,-16.658883403082356,29199,,14334
,0,,33612,15281,1.0,2016.0,0,0,-43.89196558186315,29853,4,14486,-16.970452240320068,31273,,14945
,0,,36680,14785,1.0,2016.0,0,0,-43.98487000396049,31921,4,14086,-16.69207640610164,33132,,14414
,0,,38431,15768,1.0,2016.0,0,0,-44.1065837062981,30773,4,14622,-16.78034442950773,34181,,15301
,0,,29808,14328,1.0,2016.0,0,0,-43.80526199113349,27252,4,13362,-16.819633925339794,27632,,14034
,0,,32474,14585,1.0,2016.0,0,0,-44.15883727477673,31166,4,13998,-16.633286411961087,31251,,14438
,0,,35478,14997,1.0,2016.0,0,0,-44.13358455753746,30804,4,14146,-16.77190657194428,32870,,14663
,0,,35445,15140,1.0,2016.0,0,0,-43.813992984645154,32388,4,14555,-16.768203838522208,34635,,15000
,0,,40020,15943,0.0,2016.0,0,0,-43.979489316559636,27865,3,14404,-16.630549086724344,32100,,15223
,0,,32440,15156,1.0,2016.0,0,0,-44.04361344131785,29415,4,14394,-16.660761146654803,30659,,14875
,0,,39498,15385,1.0,2016.0,0,0,-43.81369904318968,34053,4,14532,-16.763688840230394,37657,,15105
,0,,34781,14796,1.0,2016.0,0,0,-43.81779508012037,30251,4,13763,-16.66004132598329,31521,,14434
,0,,35402,15485,1.0,2016.0,0,0,-44.07197696395579,30202,4,14572,-16.746308213972394,32977,,15142
,0,,40523,15853,0.0,2016.0,0,0,-44.152696481638614,30348,3,14186,-16.74148591937987,36359,,15234
,0,,34680,15120,1.0,2016.0,0,0,-43.96994679749775,32415,4,14412,-16.88050258578178,33126,,14909
,0,,32784,14938,1.0,2016.0,0,0,-43.94156156082064,30114,4,14630,-16.786825154266882,31463,,14794
,0,,38633,15709,0.0,2016.0,0,0,-44.011163163576235,26133,3,13608,-16.695051085533446,31085,,14598
,0,,33275,14802,1.0,2016.0,0,0,-44.02050790282894,31663,4,14237,-16.912127592429275,33061,,14782
,0,,32167,15141,1.0,2016.0,0,0,-44.01781167543094,31388,4,14786,-16.90412523445105,31861,,15072
,0,,35550,14490,1.0,2016.0,0,0,-43.87639341980413,34742,4,13974,-16.93113992627876,34902,,14355
,0,,40295,15108,1.0,2016.0,0,0,-44.052698408315315,37201,4,14561,-16.890738901575507,37433,,14751
,0,,40858,15523,0.0,2016.0,0,0,-43.94043763004719,32935,3,14483,-16.95025752557399,39672,,15252
,0,,30795,14015,1.0,2016.0,0,0,-43.88073604440662,29649,4,13726,-16.867279742622515,30085,,13947
,0,,34989,15111,1.0,2016.0,0,0,-44.01404565586259,32745,4,14507,-16.713317709928237,34031,,14900
,0,,33767,14477,1.0,2016.0,0,0,-43.84189708268637,31980,4,13958,-16.96052115549611,33162,,14388
,0,,30763,14103,1.0,2016.0,0,0,-44.08455459975946,28909,4,13589,-16.848824959268274,29561,,13922
,0,,35570,14967,0.0,2016.0,0,0,-44.42231839625778,27134,3,13293,-16.64779382696773,31100,,14305
,0,,36939,15471,0.0,2016.0,0,0,-44.24175011281261,27110,3,13792,-16.66260767346758,30684,,14617
,0,,37364,15152,1.0,2016.0,0,0,-44.381730498384954,35471,4,14357,-16.641145723810737,34912,,14728
,0,,32076,14534,1.0,2016.0,0,0,-44.40650271445937,28029,4,13585,-16.70540019258223,29570,,14131
,0,,36291,14953,1.0,2016.0,0,0,-44.25847314614561,34329,4,14277,-16.677434996516055,35199,,14684
,0,,36879,15042,1.0,2016.0,0,0,-44.500375564740544,36194,4,14606,-16.9119657856251,35274,,14900
,0,,35091,14760,1.0,2016.0,0,0,-44.22271109705153,34166,4,14364,-16.880456538406882,34398,,14547
,0,,32066,14656,1.0,2016.0,0,0,-44.47430899177221,32608,4,13989,-16.713289008917364,31063,,14509
,0,,39792,15226,1.0,2016.0,0,0,-44.50740857873697,33602,4,14289,-16.78254505865278,35296,,14720
,0,,33677,15041,1.0,2016.0,0,0,-44.49956656288993,31212,4,14121,-16.918254578426822,33150,,14904
,0,,34606,15304,1.0,2016.0,0,0,-44.47593469705725,33586,4,14709,-16.786798052772326,33742,,15176
,0,,38210,15322,1.0,2016.0,0,0,-44.311592813554235,33928,4,14694,-16.7355809888393,36305,,15201
,0,,38027,15677,1.0,2016.0,0,0,-44.54342755223646,30756,4,14123,-16.963568474335723,34492,,15146
,0,,32620,15196,1.0,2016.0,0,0,-44.42372736310537,27952,4,14062,-16.692067023820883,31316,,14837
,0,,33720,15017,1.0,2016.0,0,0,-44.49296959729132,31740,4,14138,-16.91675089686395,32820,,14793
,0,,34724,14882,1.0,2016.0,0,0,-44.45301933623636,29557,4,13849,-16.69503248768335,33283,,14709
,0,,35150,15180,1.0,2016.0,0,0,-44.2503607590689,35839,4,14878,-16.783032661997414,35439,,15068
,0,,38314,15642,1.0,2016.0,0,0,-44.53049852867263,32558,4,14257,-16.64944853288828,34223,,14932
,0,,32195,14716,1.0,2016.0,0,0,-44.32480739262089,31843,4,14261,-16.76375615352318,32829,,14606
,0,,35175,14975,1.0,2016.0,0,0,-44.40790075097967,33323,4,14363,-16.97038455989075,34158,,14797
,0,,30558,14736,1.0,2016.0,0,0,-44.18065260789941,28766,4,14188,-16.79532453368024,29993,,14583
,0,,34166,15269,1.0,2016.0,0,0,-44.42411149059044,30019,4,14322,-16.77406348089325,32034,,14900
,0,,37836,15478,1.0,2016.0,0,0,-44.45360795953583,32270,4,14476,-16.925166577092558,35522,,15123
,0,,35316,15391,1.0,2016.0,0,0,-44.37280397862653,33717,4,14671,-16.819711295016692,34582,,15211
,0,,39565,15537,1.0,2016.0,0,0,-44.23240113931548,34826,4,14644,-16.659578232498287,36992,,15247
,0,,30695,14928,1.0,2016.0,0,0,-44.19120609744691,27397,4,14296,-16.866686489637623,27988,,14647
,0,,31219,14646,1.0,2016.0,0,0,-44.29444566216964,27772,4,13925,-16.719089576965203,29394,,14413
,0,,38495,15578,1.0,2016.0,0,0,-44.33790023928445,31641,4,14241,-16.69398987988142,35042,,14996
,0,,36842,15745,1.0,2016.0,0,0,-44.26127442379673,31149,4,14848,-16.774869672368663,32632,,15314
,0,,39845,15559,1.0,2016.0,0,0,-44.180986817472856,34579,4,14593,-16.718346819322,36953,,15208
,0,,38569,15640,1.0,2016.0,0,0,-44.189379281984564,30718,4,14192,-16.746255050826093,34771,,14931
,0,,35727,15292,1.0,2016.0,0,0,-44.258322538367615,34113,4,14928,-16.780354607227988,35760,,15246
,0,,34761,15273,1.0,2016.0,0,0,-44.261471650211675,31655,4,14725,-16.65889947081186,33333,,15089
,0,,32432,15207,1.0,2016.0,0,0,-44.32965370015719,31344,4,14533,-16.76827170749629,32168,,15149
,0,,33356,14254,1.0,2016.0,0,0,-44.44905775868745,32628,4,14028,-16.791766939184267,32632,,14139
,0,,36603,15183,1.0,2016.0,0,0,-44.30536792902332,33064,4,14107,-16.848841444573853,34336,,14785
,0,,36336,14908,1.0,2016.0,0,0,-44.508224828342605,29633,4,13456,-16.751756874247004,32277,,14258
,0,,37382,15351,1.0,2016.0,0,0,-44.356375451848635,37384,4,14453,-16.6305490840633,38592,,14813
,0,,36229,14162,1.0,2016.0,0,0,-44.24763033533943,31294,4,13764,-16.786039097761517,32641,,14032
,0,,42084,15594,1.0,2016.0,0,0,-44.30770746539205,33685,4,14153,-16.870770555470358,37608,,15138
,0,,33726,14785,1.0,2016.0,0,0,-44.319053821851504,33857,4,14372,-16.726475488348463,33153,,14656
,0,,33239,15055,1.0,2016.0,0,0,-44.5056515546199,31037,4,14084,-16.75588821911592,33312,,14867
,0,,37673,15708,0.0,2016.0,0,0,-44.746433187386984,25556,3,13426,-16.641146519976182,29736,,14629
,0,,39387,15776,0.0,2016.0,0,0,-44.74268122972151,28050,3,13939,-16.985145046806103,31960,,14936
,0,,29454,14682,0.0,2016.0,0,0,-44.913030792306635,26546,3,13377,-16.963213125634315,27538,,13972
,0,,33034,15166,0.0,2016.0,0,0,-44.58660101475254,29415,3,14114,-16.677405814007923,31672,,14872
,0,,37736,16053,0.0,2016.0,0,0,-44.58715008948076,28514,3,14181,-17.000609590796657,31382,,15026
,0,,41608,15901,0.0,2016.0,0,0,-44.651137965466745,30292,3,14349,-16.713475809991227,35191,,15176
,0,,36651,15410,1.0,2016.0,0,0,-44.80921136667197,26337,4,13513,-16.90821261222951,28556,,14347
,0,,34485,15303,1.0,2016.0,0,0,-44.70647518138376,31185,4,14214,-16.705402804722315,32619,,14656
,0,,32178,14967,1.0,2016.0,0,0,-44.59778731262058,28609,4,14254,-16.72643301675921,29829,,14583
,0,,30926,15049,1.0,2016.0,0,0,-44.617766907446175,27266,4,13961,-16.71336925797807,29584,,14625
,0,,32287,15022,1.0,2016.0,0,0,-44.617962390517874,29680,4,14239,-16.756899375032123,30149,,14654
,0,,31415,14868,1.0,2016.0,0,0,-44.56625301043723,28868,4,14118,-16.768203820637183,30663,,14688
,0,,35614,15201,1.0,2016.0,0,0,-44.57180472979824,30521,4,14198,-16.691678042779596,33046,,14695
,0,,27057,14594,1.0,2016.0,0,0,-44.57850146848755,26706,4,13745,-16.659557507237157,27316,,14396
,0,,35728,15174,1.0,2016.0,0,0,-44.56203290187385,33106,4,14424,-16.88659893425401,33970,,14926
,0,,35188,15377,1.0,2016.0,0,0,-44.584804737272556,29102,4,14062,-16.662586090484652,32575,,14944
,0,,34933,15149,1.0,2016.0,0,0,-44.72956474061059,31724,4,14353,-16.782596347118826,33865,,15055
,0,,37815,15524,1.0,2016.0,0,0,-44.58281656922925,31408,4,14475,-16.963591091468928,34636,,15149
,0,,37287,15246,1.0,2016.0,0,0,-44.85314289712875,33500,4,14554,-16.739029714610233,36605,,15090
,0,,36405,15414,1.0,2016.0,0,0,-44.56595906898558,33539,4,14619,-16.763688821486994,34340,,15090
,0,,33124,14941,1.0,2016.0,0,0,-44.86732838967132,30784,4,14336,-16.77485283764073,32036,,14865
,0,,34597,15307,1.0,2016.0,0,0,-44.63102310222564,32815,4,14231,-16.973974801179043,33821,,15048
,0,,35085,15510,1.0,2016.0,0,0,-44.604521600637476,34877,4,15039,-16.8217470290369,36052,,15327
,0,,36419,14902,1.0,2016.0,0,0,-44.75838769769679,27699,4,13240,-16.949652251991843,30769,,13875
,0,,37975,15656,1.0,2016.0,0,0,-44.594157108029016,33991,4,14552,-16.96052117432806,36697,,15384
,0,,37285,15470,1.0,2016.0,0,0,-44.55752201706935,32852,4,14296,-16.819633917136066,34900,,15120
,0,,31074,14752,1.0,2016.0,0,0,-44.722206820736176,33559,4,14371,-16.880502585842653,33213,,14688
,0,,37666,15461,1.0,2016.0,0,0,-44.580616698291685,32276,4,14454,-16.719041342472806,35697,,15122
,0,,35649,15305,1.0,2016.0,0,0,-45.113260019571086,31363,4,14315,-16.692076389093724,33229,,14884
,0,,39052,15741,0.0,2016.0,0,0,-44.96273101080338,26630,3,13737,-16.67740582659099,31417,,14745
,0,,32167,14976,1.0,2016.0,0,0,-45.137555439045876,31080,4,14309,-16.751807455869923,31556,,14812
,0,,29641,14535,1.0,2016.0,0,0,-45.11714319036812,28743,4,13669,-16.99645678451515,29395,,14159
