savi_median_wet,avi_median_dry,savi_median,cvi_median_wet,ri_median_wet,classe,year,avi_median_wet,avi_median,Longitude,cvi_median_dry,class,ri_median_dry,Latitude,cvi_median,savi_median_dry,ri_median
,0,,28696,13676,1.0,2016.0,0,0,-35.931790646858204,26256,4,12780,-6.871907161917763,27848,,13093
,0,,40038,15640,1.0,2016.0,0,0,-36.17239583338066,31488,4,14178,-6.887705337554258,32581,,14849
,0,,40862,15845,1.0,2016.0,0,0,-36.19136528440601,27016,4,13790,-6.693417307535389,27156,,13933
,0,,39129,15498,1.0,2016.0,0,0,-35.92081027314673,27567,4,13475,-6.598583610458889,32993,,14969
,0,,33691,14940,1.0,2016.0,0,0,-36.053492351491734,28763,4,13642,-6.774533776114901,29518,,14293
,0,,33910,14699,1.0,2016.0,0,0,-36.26910507027824,20615,4,12563,-6.893866065650529,30463,,14071
,0,,35851,15153,1.0,2016.0,0,0,-35.95727617493535,20472,4,12307,-6.565602987441408,25141,,13461
,0,,39522,15186,1.0,2016.0,0,0,-36.090019519384136,30677,4,14322,-6.904910356923574,35275,,15102
,0,,39646,15448,1.0,2016.0,0,0,-36.091680950815906,32788,4,14332,-6.893539734373844,36399,,15158
,0,,39537,15588,1.0,2016.0,0,0,-36.16560714196582,22775,4,11790,-6.87870116187374,30043,,14059
,0,,41969,15714,1.0,2016.0,0,0,-36.11035250734557,30037,4,14047,-6.658988104722869,34775,,14895
,0,,38396,15286,1.0,2016.0,0,0,-35.93381102414612,26994,4,13525,-6.569334353925199,32041,,14565
,0,,34546,14473,1.0,2016.0,0,0,-36.14456522949197,32098,4,14410,-6.8380710321099,33281,,14441
,0,,37106,15485,1.0,2016.0,0,0,-36.256987848849896,19946,4,12028,-6.833239659671323,27209,,13564
,0,,35811,15094,1.0,2016.0,0,0,-36.18578087288964,24306,4,13375,-6.756523906350297,31180,,14638
,0,,33782,14811,1.0,2016.0,0,0,-35.93560533820875,25462,4,12860,-6.584230453336031,28674,,13924
,0,,32298,14600,1.0,2016.0,0,0,-36.27282733804472,29383,4,13623,-6.723761631058353,31778,,14506
,0,,26375,14006,1.0,2016.0,0,0,-35.929617743747016,21961,4,12516,-6.626085332497094,27209,,13813
,0,,33074,14351,1.0,2016.0,0,0,-36.144858978247,23542,4,12865,-6.567471800772273,28253,,13468
,0,,32170,14774,1.0,2016.0,0,0,-36.11492598488847,25643,4,13669,-6.702809467615135,28709,,14262
,0,,32965,14520,1.0,2016.0,0,0,-36.04275886472439,28795,4,13833,-6.694189928850633,30769,,14185
,0,,33842,14401,1.0,2016.0,0,0,-36.15392515091323,27560,4,13649,-6.798648527584692,27560,,13649
,0,,30623,14315,1.0,2016.0,0,0,-35.91906310838646,25052,4,12955,-6.56678298922781,29196,,13618
,0,,34004,14812,1.0,2016.0,0,0,-36.010897903183974,29791,4,13560,-6.699167710842056,33968,,14807
,0,,39070,15098,1.0,2016.0,0,0,-36.15818612671572,31807,4,14099,-6.816214052022864,35293,,14637
,0,,31285,14285,1.0,2016.0,0,0,-36.1217335652783,23418,4,12610,-6.820143879240297,27490,,13444
,0,,35382,14773,1.0,2016.0,0,0,-36.012762197771565,22099,4,12632,-6.543923921092563,32175,,14154
,0,,28124,13783,1.0,2016.0,0,0,-35.90652697795892,27119,4,13189,-6.727212563431311,27120,,13506
,0,,33614,14582,1.0,2016.0,0,0,-36.073671805484196,31312,4,13793,-6.87982032507355,31191,,13937
,0,,32666,13711,1.0,2016.0,0,0,-36.262039195724206,27740,4,12560,-6.871537184795319,29329,,13056
,0,,36207,14907,1.0,2016.0,0,0,-35.938830321868615,30073,4,13666,-6.898027522869669,31713,,14094
,0,,30602,13965,1.0,2016.0,0,0,-36.2357603605205,26284,4,13233,-6.556142432819422,28346,,13741
,0,,31431,14067,1.0,2016.0,0,0,-35.94089705323185,24466,4,12655,-6.820005012697364,29088,,13352
,0,,28577,13352,1.0,2016.0,0,0,-35.975765465441775,26064,4,12767,-6.741333596215195,26743,,13161
,0,,31680,13960,1.0,2016.0,0,0,-35.962468908114445,29730,4,13500,-6.822363168194933,30393,,13719
,0,,32274,14097,1.0,2016.0,0,0,-36.129314868747876,23626,4,12731,-6.554439295396166,31858,,13661
,0,,31303,13901,1.0,2016.0,0,0,-36.638169238900645,27352,4,12972,-6.871537178468425,29571,,13575
,0,,29712,13519,1.0,2016.0,0,0,-36.561910895452534,23007,4,12279,-6.756523895273093,26038,,13001
,0,,32165,14097,1.0,2016.0,0,0,-36.62433495926093,23372,4,12680,-6.572301908433043,30854,,13586
,0,,26654,13147,1.0,2016.0,0,0,-36.569033916720436,19924,4,11810,-6.625419886136537,26878,,13156
,0,,36000,15095,1.0,2016.0,0,0,-36.648957384138285,25932,4,13622,-6.7237616309082,32858,,14120
,0,,28534,13821,1.0,2016.0,0,0,-36.54211524700553,21463,4,11727,-6.778570195550842,27448,,13088
,0,,27656,13543,1.0,2016.0,0,0,-36.52098898975948,21160,4,12298,-6.567471811080135,26025,,13185
,0,,38628,15495,1.0,2016.0,0,0,-36.44980179774807,22839,4,12937,-6.879820297202131,34399,,14898
,0,,36083,14810,1.0,2016.0,0,0,-36.31228793786253,31127,4,14188,-6.909116494192372,33983,,14697
,0,,33698,14808,1.0,2016.0,0,0,-36.431577102791586,26098,4,12713,-6.612342377264608,29125,,14123
,0,,35517,14764,1.0,2016.0,0,0,-36.287162316393264,29462,4,13813,-6.794523884061954,32937,,14553
,0,,26814,13316,1.0,2016.0,0,0,-36.47974575121756,24480,4,12945,-6.663139412422883,25562,,12968
,0,,38030,14687,1.0,2016.0,0,0,-36.58730109443791,28445,4,13375,-6.90807633225362,32386,,14203
,0,,29676,13940,1.0,2016.0,0,0,-36.33340613575181,25688,4,12879,-6.565603014507082,27598,,13421
,0,,37251,14932,1.0,2016.0,0,0,-36.295193058876464,28233,4,12929,-6.56678301932958,32002,,14159
,0,,29210,13823,1.0,2016.0,0,0,-36.351895431251364,26694,4,13396,-6.741333580494103,29253,,13813
,0,,30258,13684,1.0,2016.0,0,0,-36.491055988298875,26035,4,13301,-6.702809450338888,28116,,13511
,0,,28444,13529,1.0,2016.0,0,0,-36.50544487606161,20546,4,11893,-6.554439310108808,24016,,12755
