savi_median_wet,avi_median_dry,savi_median,cvi_median_wet,ri_median_wet,classe,year,avi_median_wet,avi_median,Longitude,cvi_median_dry,class,ri_median_dry,Latitude,cvi_median,savi_median_dry,ri_median
,0,,41886,15999,0.0,2016.0,0,0,-35.037596906525884,32029,3,14365,-7.153289654861675,37366,,15447
,0,,41100,15691,0.0,2016.0,0,0,-35.41372688034437,24962,3,13713,-7.153289646347662,35040,,15262
,0,,51252,16045,0.0,2016.0,0,0,-35.405927391500065,29856,3,13856,-7.190926336595087,35894,,14847
,0,,54647,16218,1.0,2016.0,0,0,-35.31830887654339,30398,4,13927,-7.120562965672601,39413,,15237
,0,,51413,16483,1.0,2016.0,0,0,-35.362999687391465,23681,4,13865,-6.995048418408739,38229,,15200
,0,,38651,15937,0.0,2016.0,0,0,-35.56002801180372,21766,3,13046,-7.283810014445275,36797,,15451
,0,,43139,16270,0.0,2016.0,0,0,-35.5534880188796,27674,3,14117,-7.000833019215958,34386,,15344
,0,,41473,15395,1.0,2016.0,0,0,-35.87303270030065,28597,4,13734,-6.92269935197961,33063,,14666
,0,,36621,14839,1.0,2016.0,0,0,-35.87439552146327,31547,4,13804,-6.923573259725531,31648,,14359
,0,,42697,15712,1.0,2016.0,0,0,-35.66663148095412,19253,4,12147,-7.068925793606972,29243,,14442
,0,,45083,15630,1.0,2016.0,0,0,-35.82708431408225,25658,4,13475,-6.955425797572939,33382,,14498
,0,,39882,14837,1.0,2016.0,0,0,-35.5576811108918,28957,4,13545,-6.944093005739266,33447,,14676
,0,,52051,16048,1.0,2016.0,0,0,-35.55566189764264,26580,4,14041,-7.246607701405762,44568,,15874
,0,,49111,16078,1.0,2016.0,0,0,-35.74441684659303,30602,4,14292,-7.248775715129019,45832,,15784
,0,,39716,15958,1.0,2016.0,0,0,-35.55947549656392,30600,4,14438,-6.95898627600137,35629,,15177
,0,,49688,16501,1.0,2016.0,0,0,-35.782689062916205,30370,4,14508,-7.174466326865277,40857,,15819
,0,,28118,14259,1.0,2016.0,0,0,-35.7312403047106,28106,4,14260,-7.232567294062786,28118,,14259
,0,,40046,15886,1.0,2016.0,0,0,-35.85162160240369,26201,4,13354,-6.96110870564845,31429,,14288
,0,,32279,14385,1.0,2016.0,0,0,-36.27031961931347,25693,4,12822,-7.191410999837372,28736,,13636
,0,,27274,13823,1.0,2016.0,0,0,-36.040997479913976,24827,4,12935,-7.17336691647907,26025,,13394
,0,,29852,14003,1.0,2016.0,0,0,-36.20814125909866,25348,4,13084,-7.282771284620434,26379,,13267
,0,,31106,14121,1.0,2016.0,0,0,-36.1814403636705,25393,4,12700,-7.116063243586223,27773,,13352
,0,,34510,14272,1.0,2016.0,0,0,-36.25182087268658,27609,4,12650,-7.268568534553864,29757,,13147
,0,,32169,14214,1.0,2016.0,0,0,-36.17424778938893,27508,4,12919,-7.073900299418066,30082,,13664
,0,,32929,14699,1.0,2016.0,0,0,-36.04224676152509,19292,4,11172,-7.254518721182344,25567,,13374
,0,,38005,15230,1.0,2016.0,0,0,-36.17881516158991,29645,4,13856,-7.207969848471741,35929,,14970
,0,,39194,15209,1.0,2016.0,0,0,-36.24768321660778,29346,4,13637,-6.9554127756719435,36214,,14877
,0,,31375,13765,1.0,2016.0,0,0,-36.14889709154765,24117,4,11987,-7.2624076318796895,26488,,12980
,0,,34923,14584,1.0,2016.0,0,0,-36.1994682470732,28034,4,13310,-6.9950358592191195,32703,,14244
,0,,29334,14139,1.0,2016.0,0,0,-36.05004018192914,24836,4,12829,-7.045740375283813,27539,,13653
,0,,32358,14192,1.0,2016.0,0,0,-36.02037031503141,26214,4,12968,-6.918689534327593,29332,,13835
,0,,36429,14643,1.0,2016.0,0,0,-36.04426250624907,30311,4,13711,-7.008273422831557,33157,,14177
,0,,30383,14314,1.0,2016.0,0,0,-35.986637550908455,22256,4,12803,-6.940369736811995,31816,,14198
,0,,32006,14274,1.0,2016.0,0,0,-36.178178661588554,26665,4,13463,-6.976681870108295,28560,,13644
,0,,29105,13546,1.0,2016.0,0,0,-35.9575703343266,25935,4,12341,-6.941060946768567,28174,,13386
